afk,away from keyboard
brb,be right back
bbiab,be back in a bit
bbl,be back later
ttfn,ta ta for now
bbs,be back soon
btw,by the way
hagn,have a good night
kiss,keep it simple stupid
kit,keep in touch
eg,evil grin
beg,big evil grin
nyob,none of your business
omg,oh my god
pm,private message
pos,parents over shoulder
ttyl,talk to you later
ltns,long time no see
ssdd,same sh!t, different day
idk,i don't know
awol,absent without leave
jrotc,junior reserve officer training corps
mia,missing in action
pow,prisoner of war
dafb,dover air force base
swat,special weapons and tactics
navy seals,navy sea air land forces
apb,all points bulletin
fbi,federal bureau of investigation
osha,occupational safety and health administration
cia,central intelligence agency
nasa,national aeronautics and space administration
ussr,union of soviet socialist republic
usa,united states of america
nafta,north american free trade agreement
dmv,division of motor vehicles
cps,child protective services
dnc,democratic national committee
rnc,republican national committee
potus,president of the united states
scotus,supreme court of the united states
csi,crime scene investigation
lol,laughing out loud
lylab,love you like a brother
lylas,love you like a sister
gmta,great minds think alike
rofl,rolling on floor laughing
lmao,laughing my a$$ off
ty,thank you
tyvm,thank you very much
yw,your welcome
np,no problem
wtg,way to go
phat,pretty, hot, and tempting
bf,boyfriend
gf,girlfriend
gj,good job
swak,sealed with a kiss
bf,best friend
bff,best friends forever
bffl,best friends for life
gr8,great
doa,dead on arrival
aids,acquired immune deficiency syndrome
hiv,human immunodeficiency virus
dare,drug abuse resistance education
add,attention deficit disorder
adhd,attention deficit hyperactivity disorder
cdc,centers for disease control and prevention
ama,against medical advice
md,medical doctor
otc,over the counter
est,eastern standard time
pst,pacific standard time
cst,central standard time
ppv,pay per view
ssn,social security number
adl,activities of daily living
suv,sports utility vehicle
abs,anti-lock braking system
asap,as soon as possible
jit,just in time
fyi,for your information
dob,date of birth
ufo,unidentified flying object
aka,also known as
dba,doing business as
dnd,do not disturb
mba,masters of business administration
ot,overtime
pos,point of service
daemon,disk and execution monitor
hr,human resources
eds,electronic data systems
nasdaq,national association of securities dealers automated quotation
pop,post office protocol
tbc,to be continued
sd card,secure data card
eod,end of day
eta,estimated time of arrival
iam: in a meeting
imo: in my opinion
swot,strengths, weaknesses, opportunities, threats
smart,specific, measurable, attainable, realistic, time-bound
nfl,national football league
afl,american football league
nba,national basketball association
nhl,national hockey league
aa,alcoholics anonymous
aarp,american association of retired persons
madd,mothers against drunk driving
pga,professional golfer's association
swm,single white male
swf,single white female
apa,american psychological association
mla,modern language association
acs,american cancer society
ama,american medical association
ada,american dental association
flag,foreign language association of georgia
paws,progressive animal welfare society
wwe,world wrestling entertainment
spca,society for the prevention of cruelty to animals
aaas,american association for the advancement of science
tbn,trinity broadcasting network
espn,entertainment and sports programming network
cbs,columbia broadcasting system
mtv,music television
nbc,national broadcasting company
abc,american broadcasting company
pbs,public broadcasting service
tnt,tuner network television
ty,thank you
faq,frequently asked questions
hf,have fun
diy,do it yourself
2f4u,too fast for you
n/a,not available / applicable
nan,not a number
pov,point of view
tba,to be announced
wtf,what the fudge
ftw,for the win
nsfw,not safe for work
ntim,not that it matters
nvm,never mind
omw,on my way
idc,i don't care
ilu,i love you
ily,i love you
imu,i miss you
irl,in real life
l8r,later
w8,wait
wb,welcome back
myob,mind your own business
